time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1608185100,22147.1,22169.4,22127.5,22169.4,5.177,114608.9,force_direct,
1608185160,22070.6,22151,22070.6,22147.1,17.37,383754.57,force_direct,
1608185220,22119.4,22119.4,22048.2,22070.6,28.27,623837.69,force_direct,
1608185280,22118.9,22119.4,22083.9,22119.4,2.15,47524.46,force_direct,
1608185340,22137.5,22139.8,22118.9,22118.9,1.024,22667.07,force_direct,
1608185400,22120,22144.9,22120,22137.5,2.571,56892.28,force_direct,
1608185460,22102,22120.4,22084.6,22120,21.89,483794.27,force_direct,
1608185520,22058.9,22103.4,22058.9,22102,6.51,143824.17,force_direct,
1608185580,22087.5,22089.9,22058.9,22058.9,0.9432,20829.89,force_direct,
1608185640,22111.7,22130.8,22086.1,22087.5,21.1,466298.14,force_direct,
1608185700,22100.1,22111.7,22100,22111.7,5.499,121548.54,force_direct,
1608185760,22091.5,22100.1,22091.5,22100.1,11.13,245920.26,force_direct,
1608185820,22128.4,22130.4,22091.4,22091.5,4.411,97517.56,force_direct,
1608185880,22114.5,22128.4,22100,22128.4,1.729,38243.91,force_direct,
1608185940,22146.3,22146.3,22114.5,22114.5,5.255,116314.14,force_direct,
1608186000,22125.5,22146.3,22125.5,22146.3,0.6188,13701.97,force_direct,
1608186060,22229.7,22235,22125.5,22125.5,19.33,428565.08,force_direct,
1608186120,22224.5,22236.7,22224,22229.7,10.5,233479.31,force_direct,
1608186180,22222.1,22229.6,22222,22224.5,1.558,34623.07,force_direct,
1608186240,22244.4,22244.4,22211,22222.1,12.29,273274.49,force_direct,
1608186300,22250,22250,22243.5,22244.4,2.232,49656.41,force_direct,
1608186360,22227.4,22250,22226.5,22250,9.782,217539.51,force_direct,
1608186420,22216.5,22227.6,22213.1,22227.4,3.827,85035.63,force_direct,
1608186480,22232.7,22238.5,22216.5,22216.5,1.17,26004.45,force_direct,
1608186540,22276.7,22276.7,22232.6,22232.7,3.419,76069.8,force_direct,
1608186600,22356.6,22398.6,22276.7,22276.7,40.01,893970.01,force_direct,
1608186660,22331.4,22356.6,22312.7,22356.6,15.1,337389.18,force_direct,
1608186720,22277.4,22331.4,22250,22331.4,13.75,306319.43,force_direct,
1608186780,22250.1,22288.5,22250,22277.4,3.202,71303.5,force_direct,
1608186840,22096.3,22250.1,22096.3,22250.1,32.08,711455.29,force_direct,
1608186900,22095.6,22145.6,22089,22096.3,5.899,130385.77,force_direct,
1608186960,22108.1,22160.2,22095.6,22095.6,14.94,330821.78,force_direct,
1608187020,22117.5,22135.2,22099.1,22108.1,15.62,345424.56,force_direct,
1608187080,22121.3,22121.3,22100,22117.5,9.183,203009.95,force_direct,
1608187140,22117,22132,22117,22121.3,1.046,23147.11,force_direct,
1608187200,22118.4,22146.3,22100.1,22117,3.718,82270.59,force_direct,
1608187260,22163.5,22163.5,22118.4,22118.4,1.944,43067.43,force_direct,
1608187320,22179.7,22181.1,22160.2,22163.5,3.36,74491.79,force_direct,
1608187380,22160.1,22180.5,22160,22179.7,15.82,350730.04,force_direct,
1608187440,22146.5,22160.1,22146.5,22160.1,1.741,38573.55,force_direct,
1608187500,22161.5,22161.5,22121,22146.5,7.131,157792.82,force_direct,
1608187560,22208.6,22208.6,22161.5,22161.5,4.182,92812.92,force_direct,
1608187620,22190.6,22208.6,22189.5,22208.6,6.659,147791.31,force_direct,
1608187680,22196,22196,22178.6,22190.6,5.169,114717.56,force_direct,
1608187740,22201.5,22205.7,22195.9,22196,7.158,158922.72,force_direct,
1608187800,22208.4,22208.4,22195.1,22201.5,3.163,70219.9,force_direct,
1608187860,22170.8,22208.4,22153.5,22208.4,11.89,263771.42,force_direct,
1608187920,22200,22200,22170.8,22170.8,17.5,388534.51,force_direct,
1608187980,22186.8,22200,22182.1,22200,0.2997,6648.5,force_direct,
1608188040,22195.9,22196,22186.8,22186.8,0.1992,4421.94,force_direct,
1608188100,22180,22195.9,22180,22195.9,0.9791,21717.15,force_direct,
1608188160,22180.1,22180.1,22180,22180,3.585,79506.13,force_direct,
1608188220,22195.5,22199.9,22180.1,22180.1,8.615,191202.74,force_direct,
1608188280,22191.8,22195.5,22180.1,22195.5,0.3315,7355.07,force_direct,
1608188340,22181.5,22195,22181.5,22191.8,0.2784,6178.8,force_direct,
1608188400,22186.2,22191,22180.9,22181.5,1.862,41304.49,force_direct,
1608188460,22177.4,22186.2,22177.4,22186.2,2.131,47261.17,force_direct,
1608188520,22190.9,22191,22177.4,22177.4,5.511,122283.87,force_direct,
1608188580,22194.5,22195,22190.9,22190.9,7.844,174103.48,force_direct,
